bookName,author,publish,publishTime,price,ISBN,comments,paperType,package,isSuit,category
Python程序设计实用教程,杨连贺、董禹龙、房超、毕璐琪、梁润宇、杨阳、彭进香,清华大学出版社,2018年06月,56.00,9787302500476,49,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>其他
Python实用教程,秦颖,清华大学出版社,2016年10月,29.50,9787302450306,36,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>其他
贝叶斯思维 统计建模的Python学习法,[美]Allen B.Downey　著，许杨毅　译,人民邮电出版社,2015年04月,33.50,9787115384287,4056,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
ABAQUS Python二次开发攻略 CAE分析大系,苏景鹤 江丙云,人民邮电出版社,2016年04月,41.10,9787115414533,933,胶版纸,平装,否,图书>计算机/网络>程序设计>Python
Python机器学习,（美）塞巴斯蒂安·拉施卡（Sebastian Raschka）,机械工业出版社,2017年03月,54.20,9787111558804,1307,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
树莓派Python编程入门与实战（第2版）,"[美] Richard Blum 勃鲁姆, Christine Bresnaha",人民邮电出版社,2016年07月,47.30,9787115426703,272,胶版纸,平装,否,图书>计算机/网络>程序设计>Python
Python算法与程序设计基础(第2版),吴萍 主编，朱晴婷、蒲鹏  副主编，刁庆霖、裘奋华 等编著,清华大学出版社,2017年12月,49.00,9787302485032,61,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学
Flask Web开发 基于Python的Web应用开发实战 第2版,[美]米格尔·格林贝格（Miguel Grinberg）,人民邮电出版社,2018年08月,54.20,9787115489456,735,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
数据结构——Python语言描述,张光河,人民邮电出版社,2018年07月,66.90,9787115485779,120,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>Python
图解算法——使用Python,吴灿铭，胡昭民,清华大学出版社,2018年09月,33.50,9787302509882,213,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python程序设计基础,鲁凌云 等,清华大学出版社,2019年04月,39.00,9787302524182,2,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>Python
Python数据分析基础,余本国,清华大学出版社,2017年08月,39.00,9787302478904,124,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学
Python Web开发学习实录（配光盘）（Web程序员成功之路）,李勇，王文强　编著,清华大学出版社,2011年10月,52.10,9787302266334,402,胶版纸,平装,否,图书>计算机/网络>程序设计>Python
利用Python开源工具分析恶意代码,[韩]赵涏元等,人民邮电出版社,2018年01月,77.90,9787115472984,155,胶版纸,平装-胶订,否,图书>计算机/网络>信息安全
Python应用编程丛书:解析Python网络爬虫：核心技术、Scrapy框架、分布式爬虫,[中国]黑马程序员,中国铁道出版社,2018年08月,45.80,9787113246785,38,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>Python
Python GUI设计——tkinter菜鸟编程洪锦魁9787302530640清华大学出版社,洪锦魁,清华大学出版社,2019年08月,59.00,9787302530640,1,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
Python程序设计教程,林信良,清华大学出版社,2017年01月,40.70,9787302457862,142,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python程序设计,主编 杨柏林 韩培友,高等教育出版社,2019年02月,33.00,9787040308457,33,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>Python
