bookName,author,publish,publishTime,price,ISBN,comments,paperType,package,isSuit,category
Python全栈数据工程师养成攻略(视频讲解版) 张宏伦 9787115468697,张宏伦,人民邮电出版社,2017年11月,32.89,9787115468697,2,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
"Python编程与应用实践 9787569028355 冯伟森,王建,杨宁 四川大学出版社","冯伟森,王建,杨宁",四川大学出版社,2019年03月,44.90,9787569028355,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
Python数据科学与机器学习 从入门到实践,弗兰克·凯恩,人民邮电出版社,2019年06月,49.00,9787115512413,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
【正版特价】Python数据科学导论|230673,（法）戴维·西伦（Davy Cielen）,机械工业出版社,2017年08月,28.30,9787111578260,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
【正版特价】Python计算与编程实践：多媒体方法(原书第2版)|217148,(美)Mark Guzdial Barbara Ericson,机械工业出版社,2012年07月,33.10,9787111387381,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
Python和NLTK自然语言处理 NLP实践教程 机器学习人工智能深度学习网络数据采集处理书,[印度] 尼天·哈登尼亚（Nitin Hardeniya）雅各布·帕金斯（Jac,人民邮电出版社,2019年04月,99.40,9787115503343,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
计算机科学丛书:Python语言程序设计 [美] 梁勇（Y.Daniel Liang） 李娜 9787111487685 机械工业出版社,"[美] 梁勇（Y.Daniel Liang）,李娜",机械工业出版社,2005年04月,78.50,9787111487685,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
机器人系统设计与制作：Python语言实现,郎坦·约瑟夫（Lentin Joseph）,机械工业出版社,2017年03月,46.30,9787111559603,325,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python开发基础,戴歆 罗玉军,人民邮电出版社,2018年12月,38.10,9787115494528,21,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>Python
Python数据科学导论：概念、技术与应用,[西]劳拉·伊瓜尔（Laura Igual）等,机械工业出版社,2018年08月,40.40,9787111604648,32,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
跟老齐学Python：Django实战,齐伟 编著,电子工业出版社,2017年10月,47.30,9787121325724,855,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python大学实用教程,齐伟,电子工业出版社,2019年03月,49.80,9787121355424,4,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>Python
Python程序设计任务驱动式教程,郑凯梅,清华大学出版社,2018年05月,59.00,9787302490463,11,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>其他
Python数据分析基础教程,王斌会,电子工业出版社,2018年10月,30.70,9787121339387,43,轻型纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
软件架构：Python语言实现,［印度］　阿南德·巴拉钱德拉·皮莱,机械工业出版社,2018年03月,62.10,9787111590941,249,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python语言及其应用,翁正秋,电子工业出版社,2018年09月,36.40,9787121347214,2,胶版纸,平装-胶订,否,图书>教材>高职高专教材>计算机图书>计算机/网络>程序设计>Python
毫无障碍学Python,邓文渊,水利水电出版社,2017年10月,39.50,9787517058342,1805,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
我的Python世界 Python minecraft 我的世界 编程 游戏 边编程边玩游戏 在游戏中学编程,程晨,人民邮电出版社,2018年07月,53.82,9787115484345,8,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
零起点Python机器学习快速入门,何海群,电子工业出版社,2017年04月,40.40,9787121311413,439,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python 网络爬虫实战,胡松涛,清华大学出版社,2016年12月,40.70,9787302457879,661,胶版纸,平装-胶订,否,图书>计算机/网络>网络与数据通信>网络配置与管理
Python机器学习经典实例（影印版）,[美] 克里斯·阿尔本 编,东南大学出版社,2018年11月,65.90,9787564179786,29,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python实用教程（含典型案例视频分析）,郑阿奇,电子工业出版社,2019年03月,66.10,9787121361616,3,胶版纸,平装-胶订,否,图书>教材>高职高专教材>计算机图书>计算机/网络>程序设计>Python
